$ seqkit stats GCF_*.fna | tee bruce_stats.txt
file                                               format  type  num_seqs    sum_len    min_len      avg_len    max_len
./indiv/GCF_000007125.1_ASM712v1_genomic.fna       FASTA   DNA          2  3,294,931  1,177,787  1,647,465.5  2,117,144
./indiv/GCF_000007505.1_ASM750v1_genomic.fna       FASTA   DNA          2  3,315,175  1,207,381  1,657,587.5  2,107,794
./indiv/GCF_000008145.1_ASM814v1_genomic.fna       FASTA   DNA          2  3,286,445  1,162,204  1,643,222.5  2,124,241
./indiv/GCF_000016845.1_ASM1684v1_genomic.fna      FASTA   DNA          2  3,275,590  1,164,220    1,637,795  2,111,370
./indiv/GCF_000018525.1_ASM1852v1_genomic.fna      FASTA   DNA          2  3,312,769  1,206,800  1,656,384.5  2,105,969
./indiv/GCF_000018725.1_ASM1872v1_genomic.fna      FASTA   DNA          2  3,283,936  1,161,449    1,641,968  2,122,487
./indiv/GCF_000018905.1_ASM1890v1_genomic.fna      FASTA   DNA          2  3,324,607  1,400,844  1,662,303.5  1,923,763
./indiv/GCF_000022625.1_ASM2262v1_genomic.fna      FASTA   DNA          2  3,311,219  1,185,518  1,655,609.5  2,125,701
./indiv/GCF_000022745.1_ASM2274v1_genomic.fna      FASTA   DNA          2  3,337,369  1,220,319  1,668,684.5  2,117,050
./indiv/GCF_000054005.1_ASM5400v1_genomic.fna      FASTA   DNA          2  3,278,307  1,156,948  1,639,153.5  2,121,359
./indiv/GCF_000192725.1_ASM19272v1_genomic.fna     FASTA   DNA          2  3,311,748  1,185,615    1,655,874  2,126,133
./indiv/GCF_000192885.1_ASM19288v1_genomic.fna     FASTA   DNA          2  3,312,229  1,185,778  1,656,114.5  2,126,451
./indiv/GCF_000221005.1_ASM22100v1_genomic.fna     FASTA   DNA          2  3,399,268  1,260,926    1,699,634  2,138,342
./indiv/GCF_000223195.1_ASM22319v1_genomic.fna     FASTA   DNA          2  3,315,163  1,207,380  1,657,581.5  2,107,783
./indiv/GCF_000227645.1_ASM22764v1_genomic.fna     FASTA   DNA          2  3,294,475  1,176,758  1,647,237.5  2,117,717
./indiv/GCF_000236255.1_ASM23625v1_genomic.fna     FASTA   DNA          2  3,316,088  1,207,451    1,658,044  2,108,637
./indiv/GCF_000238175.1_ASM23817v1_genomic.fna     FASTA   DNA          2  3,286,032  1,162,259    1,643,016  2,123,773
./indiv/GCF_000238195.1_ASM23819v1_genomic.fna     FASTA   DNA          2  3,277,512  1,170,489    1,638,756  2,107,023
./indiv/GCF_000590795.1_ASM59079v1_genomic.fna     FASTA   DNA          2  3,278,034  1,160,316    1,639,017  2,117,718
./indiv/GCF_000590815.1_ASM59081v1_genomic.fna     FASTA   DNA          2  3,277,545  1,160,038  1,638,772.5  2,117,507
./indiv/GCF_000600055.1_ASM60005v1_genomic.fna     FASTA   DNA          2  3,315,275  1,207,433  1,657,637.5  2,107,842
./indiv/GCF_000691585.1_ASM69158v1_genomic.fna     FASTA   DNA          2  3,310,315  1,203,360  1,655,157.5  2,106,955
